shopify_gid,handle,sku,old_name,new_name,matched_png_fileid,confidence,bucket,top_similarity,chosen_index,candidate_names
,0-cross-stitch-black-embroidered-icon,ICON-45923952034049,0 Cross Stitch Black Embroidered Icon,Cross Stitch C,1mjtg_amUbRbiOQ9ySet7h_ftNoAUqd8E,high,High confidence,0.9531,4,Cross Stitch G | Cross Stitch U | Cross Stitch A | Cross Stitch D | Cross Stitch C | Cross Stitch W | Cross Stitch Q | Cross Stitch O | Cross Stitch V | Cross Stitch B | Cross Stitch M | Cross Stitch P
,0-cross-stitch-red-embroidered-icon,ICON-45923663446273,0 Cross Stitch Red Embroidered Icon,Cross Stitch D,1HG9uSo73_OslpLhumjEo5IEyzrHuX9Z4,medium,Needs review,0.9526,3,Cross Stitch G | Cross Stitch U | Cross Stitch A | Cross Stitch D | Cross Stitch W | Cross Stitch C | Cross Stitch Q | Cross Stitch O | Cross Stitch V | Cross Stitch B | Cross Stitch M | Cross Stitch P
,1-cross-stitch-black-embroidered-icon,ICON-45923953541377,1 Cross Stitch Black Embroidered Icon,Cross Stitch I,1KtEzYy8ZD6IiNs2w_uMR_gdZLO0k3Znb,high,High confidence,0.9406,0,Cross Stitch I | Cross Stitch T | Cross Stitch L | Cross Stitch A | Cross Stitch Y | Cross Stitch J | Cross Stitch V | Cross Stitch P | Cross Stitch E | Cross Stitch G | Cross Stitch Q | Cross Stitch R
,1-cross-stitch-red-embroidered-icon,ICON-45923663675649,1 Cross Stitch Red Embroidered Icon,Cross Stitch I,1KtEzYy8ZD6IiNs2w_uMR_gdZLO0k3Znb,high,High confidence,0.9433,0,Cross Stitch I | Cross Stitch T | Cross Stitch L | Cross Stitch A | Cross Stitch Y | Cross Stitch J | Cross Stitch V | Cross Stitch P | Cross Stitch E | Cross Stitch G | Cross Stitch Q | Cross Stitch R
,2-cross-stitch-black-embroidered-icon,ICON-45923954098433,2 Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9517,-1,Cross Stitch Z | Cross Stitch K | Cross Stitch A | Cross Stitch E | Cross Stitch R | Cross Stitch G | Cross Stitch S | Cross Stitch P | Cross Stitch X | Cross Stitch V | Cross Stitch L | Cross Stitch Y
,2-cross-stitch-red-embroidered-icon,ICON-45923664068865,2 Cross Stitch Red Embroidered Icon,Cross Stitch Z,1BVWrq8fUWzvcnpR0Sjd7RsIC-jyZ8A-Z,high,High confidence,0.9491,0,Cross Stitch Z | Cross Stitch K | Cross Stitch A | Cross Stitch E | Cross Stitch R | Cross Stitch G | Cross Stitch S | Cross Stitch X | Cross Stitch P | Cross Stitch V | Cross Stitch L | Cross Stitch Y
,3-cross-stitch-black-embroidered-icon,ICON-45923954950401,3 Cross Stitch Black Embroidered Icon,Cross Stitch E,1iYuk5N0Zk_txLVYLL7S3-xkYHBPAcsYX,high,High confidence,0.9414,3,Cross Stitch K | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch F | Cross Stitch R | Cross Stitch S | Cross Stitch G | Cross Stitch X | Cross Stitch P | Cross Stitch Y | Cross Stitch V
,3-cross-stitch-red-embroidered-icon,ICON-45923664232705,3 Cross Stitch Red Embroidered Icon,,,high,No match - likely cut,0.9406,-1,Cross Stitch K | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch F | Cross Stitch R | Cross Stitch S | Cross Stitch G | Cross Stitch X | Cross Stitch P | Cross Stitch Y | Cross Stitch V
,3-fishes-embroidered-icon,ICON-46316006113537,3 Fishes Embroidered Icon,Three Fish,16_NZrxpczKpqVztBOVVN_X680pn81-TI,high,High confidence,0.9047,0,Three Fish | Surf Board | Football | Lip Balms | Joint | San Francisco Sea Lion | LA Pennant | Wine Bottle | Austin Pennant | Goldfish | San Francisco Pennant | Chicago Pennant
,4-cross-stitch-black-embroidered-icon,ICON-45923955245313,4 Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9512,-1,Cross Stitch X | Cross Stitch Z | Cross Stitch Y | Cross Stitch A | Cross Stitch N | Cross Stitch E | Cross Stitch R | Cross Stitch W | Cross Stitch V | Cross Stitch G | Cross Stitch K | Cross Stitch H
,4-cross-stitch-red-embroidered-icon,ICON-45923664527617,4 Cross Stitch Red Embroidered Icon,,,high,No match - likely cut,0.9520,-1,Cross Stitch X | Cross Stitch Z | Cross Stitch Y | Cross Stitch N | Cross Stitch A | Cross Stitch R | Cross Stitch E | Cross Stitch W | Cross Stitch V | Cross Stitch G | Cross Stitch K | Cross Stitch H
,4-fishes-embroidered-icon,ICON-46316008243457,4 Fishes Embroidered Icon,Three Fish,16_NZrxpczKpqVztBOVVN_X680pn81-TI,medium,Needs review,0.8814,0,Three Fish | San Francisco Sea Lion | Goldfish | Soy Sauce | Football | Whale | Surf Board | Shrimp Sashimi | Rainbow Trout | Joint | LA Pennant | Fish Bone
