shopify_gid,handle,sku,old_name,new_name,matched_png_fileid,confidence,bucket,top_similarity,chosen_index,candidate_names
gid://shopify/Product/8673638580481,0-cross-stitch-black-embroidered-icon,ICON-45923952034049,0 Cross Stitch Black Embroidered Icon,Cross Stitch C,1mjtg_amUbRbiOQ9ySet7h_ftNoAUqd8E,high,High confidence,0.9531,4,Cross Stitch G | Cross Stitch U | Cross Stitch A | Cross Stitch D | Cross Stitch C | Cross Stitch W | Cross Stitch Q | Cross Stitch O | Cross Stitch V | Cross Stitch B | Cross Stitch M | Cross Stitch P
gid://shopify/Product/8673556988161,0-cross-stitch-red-embroidered-icon,ICON-45923663446273,0 Cross Stitch Red Embroidered Icon,Cross Stitch D,1HG9uSo73_OslpLhumjEo5IEyzrHuX9Z4,medium,Needs review,0.9526,3,Cross Stitch G | Cross Stitch U | Cross Stitch A | Cross Stitch D | Cross Stitch W | Cross Stitch C | Cross Stitch Q | Cross Stitch O | Cross Stitch V | Cross Stitch B | Cross Stitch M | Cross Stitch P
gid://shopify/Product/8673638711553,1-cross-stitch-black-embroidered-icon,ICON-45923953541377,1 Cross Stitch Black Embroidered Icon,Cross Stitch I,1KtEzYy8ZD6IiNs2w_uMR_gdZLO0k3Znb,high,High confidence,0.9406,0,Cross Stitch I | Cross Stitch T | Cross Stitch L | Cross Stitch A | Cross Stitch Y | Cross Stitch J | Cross Stitch V | Cross Stitch P | Cross Stitch E | Cross Stitch G | Cross Stitch Q | Cross Stitch R
gid://shopify/Product/8673557086465,1-cross-stitch-red-embroidered-icon,ICON-45923663675649,1 Cross Stitch Red Embroidered Icon,Cross Stitch I,1KtEzYy8ZD6IiNs2w_uMR_gdZLO0k3Znb,high,High confidence,0.9433,0,Cross Stitch I | Cross Stitch T | Cross Stitch L | Cross Stitch A | Cross Stitch Y | Cross Stitch J | Cross Stitch V | Cross Stitch P | Cross Stitch E | Cross Stitch G | Cross Stitch Q | Cross Stitch R
gid://shopify/Product/8793522503937,3-fishes-embroidered-icon,ICON-46316006113537,3 Fishes Embroidered Icon,Three Fish,16_NZrxpczKpqVztBOVVN_X680pn81-TI,high,High confidence,0.9047,0,Three Fish | Surf Board | Football | Lip Balms | Joint | San Francisco Sea Lion | LA Pennant | Wine Bottle | Austin Pennant | Goldfish | San Francisco Pennant | Chicago Pennant
gid://shopify/Product/8793523060993,4-fishes-embroidered-icon,ICON-46316008243457,4 Fishes Embroidered Icon,Three Fish,16_NZrxpczKpqVztBOVVN_X680pn81-TI,medium,Needs review,0.8814,0,Three Fish | San Francisco Sea Lion | Goldfish | Soy Sauce | Football | Whale | Surf Board | Shrimp Sashimi | Rainbow Trout | Joint | LA Pennant | Fish Bone
gid://shopify/Product/8651159011585,v2-locket-filled-bow,ICON-45782333620481,Locket Filled Bow Embroidered Icon,Locket Filled Bow,1AttOh1chWirfpuNHsD_rB0VObturUXgY,high,High confidence,0.8350,0,Locket Filled Bow | Schnauzer Locket | Locket Filled | Bulldog Locket | Boxer Locket | Italian Greyhound Locket | Chihuahua Locket | Pomeranian Locket | Poodle Locket | Cane Corso Locket | Golden Retriever Locket | Black Doodle Locket
gid://shopify/Product/8651159044353,v2-locket-filled,ICON-45782333718785,Locket Filled Embroidered Icon,,,high,No match - likely cut,0.8628,-1,Italian Greyhound Locket | Locket Filled | Bulldog Locket | Schnauzer Locket | Pomeranian Locket | Boxer Locket | Doberman Locket | Golden Retriever Locket | Cane Corso Locket | Pit Bull Locket | Poodle Locket | Chihuahua Locket
gid://shopify/Product/8651159077121,v2-locket-outline-bow,ICON-45782333817089,Locket Outline Bow Embroidered Icon,Locket Filled Bow,1AttOh1chWirfpuNHsD_rB0VObturUXgY,high,High confidence,0.8267,4,Lover Arrow Heart | Lover Locket | Italian Greyhound Locket | Longhair Shi Tzu Locket | Locket Filled Bow | Pomeranian Locket | Black Doodle Locket | Cane Corso Locket | Brown Doodle Locket | Poodle Locket | Boxer Locket | Bulldog Locket
gid://shopify/Product/8651159109889,v2-locket-outline,ICON-45782333915393,Locket Outline Embroidered Icon,,,high,No match - likely cut,0.8522,-1,Lover Locket | Lover Arrow Heart | Italian Greyhound Locket | Poodle Locket | Pomeranian Locket | Longhair Shi Tzu Locket | Brown Doodle Locket | Cane Corso Locket | Boxer Locket | Doberman Locket | Black Doodle Locket | Bulldog Locket
