sheet_row,icon_name,category,file_column,status,file_name_in_drive,file_id,note
6,Adderall,Apothecary,SMALL OFM,MISMATCH,Blush SMALL.ofm,1getU-ufLmWH0ly68MOBE3xgRkSyu9Yk0,Icon name 'Adderall' doesn't appear in file name 'Blush SMALL.ofm'
46,Bandana Texas,Texas,SMALL OFM,BROKEN_LINK,,1OrlgWVpjcSDM2I92LqfzgW1EyWYmhdn7,File not found or not accessible by service account
46,Bandana Texas,Texas,MEDIUM OFM,BROKEN_LINK,,1jIehQOADCO04n_qxNyDBO7yWKa_xwdSU,File not found or not accessible by service account
46,Bandana Texas,Texas,LARGE OFM,BROKEN_LINK,,1Pdom2xPdsIaGkZ_cJaLADIUDqM_VtBJ3,File not found or not accessible by service account
60,Beamed 16th Note,Hobby,SMALL OFM,MISMATCH,Beamed Sixteenth Note SMALL.ofm,1NOPvOccMOuUuKk4xUEogO9InDkVW9b5o,Icon name 'Beamed 16th Note' doesn't appear in file name 'Beamed Sixteenth Note SMALL.ofm'
60,Beamed 16th Note,Hobby,MEDIUM OFM,MISMATCH,Beamed Sixteenth Note MEDIUM.ofm,1K-qaO45VU74ovJkXoDwOuJfqJH2Ulthd,Icon name 'Beamed 16th Note' doesn't appear in file name 'Beamed Sixteenth Note MEDIUM.ofm'
60,Beamed 16th Note,Hobby,LARGE OFM,MISMATCH,Beamed Sixteenth Note LARGE.ofm,1PaU3dGhcEaqxYQymXnHo9dAbT2v61aaW,Icon name 'Beamed 16th Note' doesn't appear in file name 'Beamed Sixteenth Note LARGE.ofm'
60,Beamed 16th Note,Hobby,PNG,MISMATCH,Beamed Sixteenth Note.png,1b76qU1VuNkl7ViPsKIm7TksVBWidyJ0z,Icon name 'Beamed 16th Note' doesn't appear in file name 'Beamed Sixteenth Note.png'
60,Beamed 16th Note,Hobby,SMALL DST,MISMATCH,Beamed Sixteenth Note SMALL.dst,1si6Q-NO11MSi-ELUOBTr4WOK9c1fyDVM,Icon name 'Beamed 16th Note' doesn't appear in file name 'Beamed Sixteenth Note SMALL.dst'
60,Beamed 16th Note,Hobby,MEDIUM DST,MISMATCH,Beamed Sixteenth Note MEDIUM.dst,1qlA4O8vTkl3NWgeSnnPRUwOsf4KEIPsO,Icon name 'Beamed 16th Note' doesn't appear in file name 'Beamed Sixteenth Note MEDIUM.dst'
60,Beamed 16th Note,Hobby,LARGE DST,MISMATCH,Beamed Sixteenth Note LARGE.dst,1L3Kx0PutzCZJbEXQaWlmah5Wf-YRlJWT,Icon name 'Beamed 16th Note' doesn't appear in file name 'Beamed Sixteenth Note LARGE.dst'
227,Christmas Tree Truck,Holiday,PNG,MISMATCH,Christmas Tree.png,11ZVTL2VRTQ8jyVHV9pCw38BikZDFzRG1,Icon name 'Christmas Tree Truck' doesn't appear in file name 'Christmas Tree.png'
227,Christmas Tree Truck,Holiday,SMALL DST,MISMATCH,Christmas Tree MEDIUM.dst,1ErAj0dCdylu_UIzlcdaWXsSRBRALOBp5,Icon name 'Christmas Tree Truck' doesn't appear in file name 'Christmas Tree MEDIUM.dst'
227,Christmas Tree Truck,Holiday,MEDIUM DST,MISMATCH,Christmas Tree MEDIUM.dst,1ErAj0dCdylu_UIzlcdaWXsSRBRALOBp5,Icon name 'Christmas Tree Truck' doesn't appear in file name 'Christmas Tree MEDIUM.dst'
227,Christmas Tree Truck,Holiday,LARGE DST,MISMATCH,Christmas Tree LARGE.dst,1Dd01Ave8l1hThNGbfz37bPjOCLn_VUFl,Icon name 'Christmas Tree Truck' doesn't appear in file name 'Christmas Tree LARGE.dst'
235,Convertible,Travel,LARGE DST,MISMATCH,Coffee SMALL.dst,1d_oa_mtydRFKJfESfUqHzShlZ3flvc-Y,Icon name 'Convertible' doesn't appear in file name 'Coffee SMALL.dst'
